Name,Description,Details,Power,Powerlc,Ability 1,Ability 2,Ability 3,Speed,Languages,LLV,Darkvision,Skill Bonus 1,Skill Bonus 2,Feat 1 Name,Feat 1 Desc,Feat 2 Name,Feat 2 Desc,Feat 3 Name,Feat 3 Desc
Dromite,Small cosmic humanoid,,Psychic Leap,psychic leap,Dexterity,Intelligence,Charisma,5 squares,"Common, Deep Speech",,1,Arcana,Insight,Blast Shard,You gain Blast Shard as a bonus feat.,,,,
Spriggan,Small fey humanoid,,Giant Form,giant form,Strength,Constitution,Wisdom,5 squares,"Common, Elven",1,,Athletics,Intimidate,Injured Rage,+1 ancestry bonus on attack rolls while staggered.,,,,
Whom,Small natural humanoid,Whoms are humanoid wombats who live in burrows underground. ,Barrel Along,barrel along,Strength,Constitution,Wisdom,5 squares,"Common, Dwarvish",1,,Dungeoneering,Insight,Whom Weapon Proficiencies,You have proficiency with martial weapons of the Pick group. ,Just Keep Digging,"When you make Endure checks as part of a group check or extended challenge, or to Aid Another, roll twice and take the higher result. ",Burrow,You have a burrow speed of 1 square. Your burrow cannot extend too far or it risks caving in; you must double back to the surface after burrowing for 5 squares. 
Apefolk,Medium natural humanoid,,,,Strength,Constitution,Charisma,6 squares,Common and one extra language of your choice.,,,Diplomacy,Religion,Heart of the Legion,"When adjacent to at least two allies, you receive a +1 power bonus to all defenses. ",Apefolk Power,Each apefolk has one of the following powers: *cull the weak* or *rally point*.,,
Automaton,Medium natural automaton (construct),,Ingenuity,ingenuity,Constitution,Intelligence,Wisdom,6 squares,Common and one extra language of your choice.,,,Endure,History,Relentless Endurance ,"The first time in an encounter that you are staggered, you gain temporary HP equal to your level.",Made of Metal,"You do not make death saving throws. You still die if reduced to negative hit points equal to your maximum hit points.  

You do not sleep, breathe, eat or drink. ",,
Baldanar,Medium shadow humanoid (shapechanger),,,,Dexterity,Intelligence,Charisma,6 squares,Common and one extra language of your choice.,,,Bluff,Stealth,Shared Mind,"You gain telepathy 5, which means you can communicate mentally with creatures you can see that are within 5 squares of you. The creature must be able to speak at least one language; once you have begun the communication they can “speak” back to you if they wish. Your telepathy does not allow you to read the creature’s thoughts or influence them other than in the same manner as ordinary verbal communication.",Brief Mimicry,"You have the *brief mimicry* power from the Deep, Dark, Truthful Mirror discipline. ",Dabbler,Choose a level 1 at-will attack power from your class. You gain this power in addition to the those normally granted by your class.
Catfolk,Medium natural humanoid,,Farstrider,farstrider,Dexterity,Wisdom,Charisma,6 squares,Common and one extra language of your choice.,1,,Acrobatics,Streetsmarts,Natural Weapon – Claws,"You are proficient with a martial weapon, your claws. Each claw is a martial side weapon in the light blades category (proficiency +3, 1d6 damage), although it cannot be thrown.",Balance Guidance,Allies within 10 receive a +1 ancestry bonus to Acrobatics.,Nimbleness,+2 ancestry bonus to AC against opportunity attacks.
Fetchling,Medium shadow humanoid,,Disappearing Act,disappearing act,Strength,Intelligence,Charisma,6 squares,Common and one extra language of your choice.,1,,History,Stealth,Hold Breath,+5 ancestry bonus to Endure checks to hold your breath.,Stealth Guidance,Allies within 10 receive a +1 ancestry bonus to Stealth.,,
Gnoll,Medium natural humanoid,,Violent Rush,violent rush,Strength,Constitution,Charisma,6 squares,"Common, Abyssal",1,,Athletics,Perception,Vigor,Add your Constitution modifier to your recovery value.,Natural Weapon – Bite,"You are proficient with a martial weapon, your claws. Your bite is a martial one-handed weapon in the heavy blades category (proficiency +3, 1d8 damage), although it requires no hands to use.",,
Grynloc,Medium natural humanoid,,,,Dexterity,Intelligence,Wisdom,6 squares,"Common, Primordial",,,Arcana,Perception,Magic Sight,"You can, to a range of 12 squares, see invisible creatures and objects, automatically detect visual illusions and succeed on saving throws against them, and perceive the original form of a shapechanger or a creature that is transformed by magic.",Grynloc Gifts,"Once per encounter, you can use *shape magic* or *distraction*.",,
