Name,Level,Type,Category,Skill,Completion Time,Components,Cost to Learn,Duration,Description
Chapter,0,,,Arcana,,,,,
Alarm,1,Abjuration,Incantation,Arcana,1 hour,A tiny bell and a piece of fine silver wire (14 gp),14 gp,8 hours,"You ward an area in a two-square burst to alert you when creatures enter without your permission. When you cast *alarm*, select a password. Whenever a Small or larger corporeal creature enters the incantation’s area without speaking the password, alarm sends your choice of a mental alert or an audible alarm with the sound and volume of a hand bell. Either option automatically awakens you, and the bell allows each creature in the area to attempt a DC 15 Perception check to wake up. A creature aware of the alarm must succeed at a Stealth check against your Arcana modifier +10 or trigger the incantation when moving into the area.

**Arcana check:** With a successful Arcana check (DC 12) at the time of casting, you can specify criteria for which creatures sound the *alarm* - for instance, orcs or masked people."
Floating Disk,1,Crafting,Incantation,Arcana,1 hour,A drop of mercury (14 gp)  ,14 gp,1 hour,"This incantation creates a circular, horizontal plane of force, 3 feet in diameter and 1 inch thick, that floats 3 feet above the ground in an unoccupied square of your choice that you can see. The disk remains for the duration, and can hold up to 500 pounds. If more weight is placed on it, the incantation ends, and everything on the disk falls to the ground.  

The disk is immobile while you are within 4 squares of it. If you move more than 4 squares away from it, the disk follows you so that it remains within 4 squares of you. It can move across uneven terrain, up or down stairs, slopes and the like, but it can’t cross an elevation change of 2 squares or more. For example, the disk can’t move across a 2-square deep pit, nor could it leave such a pit if it was created at the bottom.  

If you move more than 20 squares from the disk (typically because it can’t move around an obstacle to follow you), the incantation ends.  

**Arcana check:** With a successful Arcana check (DC 12) at the time of casting, you can give the floating disk a simple instruction. It can be further than 20 squares away from you while fulfilling the instruction. "
Identify,1,Divination,Incantation,Arcana,1 hour,A pearl (28 gp),14 gp,Instantaneous,"You choose one object that you must touch throughout the casting of the incantation. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any. You learn whether any magical effects are affecting the item and what they are. If the item was created by an art or power, you learn which art or power created it.  

If you instead touch a creature throughout the casting, you learn what magical effects, if any, are currently affecting it. 

**Arcana check:** With a successful Arcana check (DC 12) at the time of casting, you have one additional question about the item or creature answered - like its age, provenance or creator."
Illusory Script,1,Illusion,Incantation,Arcana,1 hour,A lead-based ink (14 gp),14 gp,10 days,"You hide a message on parchment, paper, or some other suitable writing material.  

To you and any creatures familiar with your technique, the writing appears normal, written in your hand, and conveys whatever meaning you intended when you wrote the text. To all others, the writing appears as if it were written in an unknown script that is unintelligible. 

A creature with truesight can read the hidden message.  

**Arcana check:** With a successful Arcana check (DC 12) at the time of casting, you can instead can cause the writing to appear to be an entirely different message, written in a different hand and language, though the language must be one you know.  "
Mage’s Mark,1,Transmutation,Incantation,Arcana,1 minute,Fresh candle and silver stylus (14 gp),14 gp,Permanent,"Every mage has their own mark, usually an elaborate and unique rune. This ritual allows a mage to inscribe their mark on any non-magical substance, including stone and metal. The rune remains permanently upon the surface, only disappearing if the item or surface itself is destroyed. The mage may choose to make this mark visible to all, or only to those with the sight (meaning that most folk will not be able to see it at all, but anyone with Arcana training will see it)."
Understand Languages,1,Divination,Incantation,Arcana,1 hour,A pinch of soot and salt and an amethyst (14 gp),14 gp,1 hour,"For the duration, you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text.  

This incantation doesn’t decode secret messages in a text or a glyph, such as an arcane sigil, that isn’t part of a written language.  

**Arcana check:** With a successful Arcana check (DC 12) at the time of casting, you can also speak any spoken language you have heard during the duration. "
Unseen Servant,1,Conjuration,Incantation,Arcana,1 hour,"A piece of string, a bit of wood and a glass bauble (14 gp)",14 gp,8 hours,"This incantation creates an invisible, mindless, shapeless, Medium force that performs simple tasks at your command until the incantation ends. The servant springs into existence in an unoccupied space on the ground within range. It has AC 10, 1 hit point, and a Strength of 2, and it can’t attack. If it drops to 0 hit points, the incantation ends.  

Once on each of your turns as a swift action, you can mentally command the servant to move up to 3 squares and interact with an object. The servant can perform simple tasks that a human servant could do, such as fetching things, cleaning, mending, folding clothes, lighting fires, serving food, and pouring wine. Once you give the command, the servant performs the task to the best of its ability until it completes the task, then waits for your next command.  

If you command the servant to perform a task that would move it more than 12 squares away from you, the incantation ends.  

**Arcana check:** With a successful Arcana check (DC 12) at the time of casting, the duration extends to 24 hours and the incantation does not end if the servant moves more than 12 squares away from you. "
Perpetual Message,3,Illusion,Incantation,Arcana,1 hour,A small bit of honeycomb and jade dust (54 gp),27 gp,Permanent,"You implant a message within an object within 6 squares, a message that is uttered when a trigger condition is met. Choose an object that you can see and that isn’t being worn or carried by another creature. Then speak the message, which must be 25 words or less, though it can be delivered over as long as 10 minutes. Finally, determine the circumstance that will trigger the incantation to deliver your message.  

When that circumstance occurs, a magical mouth appears on the object and recites the message in your voice and at the same volume you spoke. If the object you chose has a mouth or something that looks like a mouth (for example, the mouth of a statue), the magical mouth appears there so that the words appear to come from the object’s mouth. After it delivers the message, the *magic mouth* incantation ends.  

The triggering circumstance can be as general or as detailed as you like, though it must be based on visual or audible conditions that occur within 6 squares of the object. For example, you could instruct the mouth to speak when any creature moves within 6 squares of the object or when a silver bell rings within 6 squares of it.  

**Arcana check:** With a successful Arcana check (DC 14) at the time of casting, you can choose for the incantation to not end after it delivers its message, but instead for it to remain and repeat its message whenever the trigger occurs. "
Sphere of Silence,3,Illusion,Incantation,Arcana,1 hour,27 gp,27 gp,8 hours,"For the duration, no sound can be created within or pass through a 4-square burst centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damage, and creatures are deafened while entirely inside it. Casting a incantation is impossible there.  

**Arcana check:** With a successful Arcana check (DC 14) at the time of casting, the target can be an object or creature instead of a point. The burst of silence moves with the object or creature."
Continual Flame,5,Crafting,Incantation,Arcana,1 hour,Ruby dust (80 gp),40 gp,Instantaneous,"A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The effect looks like a regular flame, but it creates no heat and doesn’t use oxygen. A *continual flame* can be covered and hidden but not smothered or quenched.  "
Dismiss Magic,5,Practical,Incantation,Arcana,1 minute,72 gp,72 gp,Instantaneous,"Choose one creature, object, or magical effect within 24 squares. Any incantation or non-martial power of 5th level or lower on the target ends. For each incantation or non-martial power of 6th level or higher (or no level) on the target, make an Arcana check. The DC equals 10 + the incantation or power’s level. On a successful check, the effect ends.

Alternatively, a magic item you touch becomes non-magical for the next 10 minutes.

**Arcana check:** You can instead choose a magic item within 24 squares to become non-magical for 10 minutes, but you must succeed on an Arcana check vs the wielder’s Will (if it has a wielder). "
