Chapter,Name,Alignment,Size,Ancestry,Type,Tag,Level,Role,Senses,Aura,HP,Staggered,HP Extras,AC,Fort,Ref,Will,Immunity to,Resistance to,Vulnerability to,Saving Throws,Spd,Action Points,Power 1 - Type,Power 1 - Name,Power 1 - Action,Power 1 - Frequency,Power 1 - Tags,Power 1 - Range,Power 1 - Attack Bonus,Power 1 - Defense,Power 1 - Rider,Power 1 - Effect,Power 1 - Secondary Attack,Power 2 - Type,Power 2 - Name,Power 2 - Action,Power 2 - Frequency,Power 2 - Tags,Power 2 - Range,Power 2 - Attack Bonus,Power 2 - Defense,Power 2 - Rider,Power 2 - Effect,Power 2 - Secondary Attack,Power 3 - Type,Power 3 - Name,Power 3 - Action,Power 3 - Frequency,Power 3 - Tags,Power 3 - Range,Power 3 - Attack Bonus,Power 3 - Defense,Power 3 - Rider,Power 3 - Effect,Power 3 - Secondary Attack,Power 4 - Type,Power 4 - Name,Power 4 - Action,Power 4 - Frequency,Power 4 - Tags,Power 4 - Range,Power 4 - Attack Bonus,Power 4 - Defense,Power 4 - Rider,Power 4 - Effect,Power 4 - Secondary Attack,Power 5 - Type,Power 5 - Name,Power 5 - Action,Power 5 - Frequency,Power 5 - Tags,Power 5 - Range,Power 5 - Attack Bonus,Power 5 - Defense,Power 5 - Rider,Power 5 - Effect,Power 5 - Secondary Attack,Language,Skills,Str,Con,Dex,Int,Wis,Cha,Equipment,Description
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,a,,,a,a,a,a,a,a,a,,a,,,a,a,a,a,a,a,a,a,a,a,a,a
Cup of Brimstone,Chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summons are described according to the monster rules. See the Game Master’s Guide for rules on reading monster stat blocks. 
Cup of Brimstone,Demon Toad,Chaotic Evil,Small,Outsider,Monstrosity,Demon,1,Summoned Creature,darkvision,,your recovery value,,can use your recoveries,your defenses,,,,,poison 5,,,"4, see also *leap*",,Basic Melee,Bite ,standard,at-will,Poison,,Your level +4,AC,,1d8 + Charisma modifier poison damage.,,Near,Foul Belch,reaction,at-will,Poison,When the toad takes damage: Near burst 1,your level +2,Fortitude,,"1d8 + Charisma modifier poison damage, and the target is dazed (save ends).",,,Leap,move,at-will,,,,,,"The demon toad jumps 4 squares, without provoking opportunity attacks. ",,,Instinct,,,,,,,,"At the end of your turn, if the demon toad has not received a command that turn, it attacks or charges the nearest dazed creature, otherwise the nearest creature.",,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
Cup of Brimstone,Hopping Imp,Evil,Small,Outsider,Humanoid,Demon,1,Summoned Creature,darkvision,"*Curse (Psychic) aura 1:* Each time a creature in the aura misses on an attack, it takes 1d8 + your Charisma modifier psychic damage.",your recovery value,,can use your recoveries,your defenses,,,,,fire 5,,,"6, fly 2",,Basic Melee,Festering Claws,standard,at-will,Poison,,Your level +6,AC,,the target takes 5 persistent poison damage (save ends). ,,Near,Blight Jet,standard,at-will,Poison,Near arc 2,your level +4,Fortitude,,"1d8 + Charisma modifier poison damage, and the target is slowed (save ends).",,,Instinct,,,,,,,,"At the end of your turn, if the hopping imp has not received a command that turn, it attacks or charges the nearest slowed creature, otherwise the nearest creature.",,,,,,,,,,,,,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
Cup of Brimstone,Burner Demon,Chaotic Evil,Medium,Outsider,Humanoid,"Demon, Fire",5,Summoned Creature,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,fire 10,cold 10,,"fly 4 (hover, max altitude 2)",,Basic Melee,Flickers of Flame,standard,at-will,Fire,,Your level +4,Reflex,,1d6 + Charisma modifier fire damage. *Miss:* A random creature adjacent to the burner demon takes 1d6 + Charisma modifier fire damage.,,Far,Quick Flicking Fire,standard,at-will,Fire,Far burst 1 within 5,your level +4,Reflex,one random target in range,1d6 + Charisma modifier fire damage.,,,Instinct,,,,,,,,"At the end of your turn, if the burner demon has not received a command that turn, it makes a *quick flicking fire* attack against the nearest square occupied by a creature.",,,,,,,,,,,,,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
Cup of Brimstone,Hellhound,Evil,Medium,Outsider,Beast,Demon,5,Summoned Creature,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,fire 10,cold 10,,8,,Basic Melee,Savage Bite,standard,at-will,Fire,,Your level +4,AC,,"2d6 + Charisma modifier fire damage. *Miss:* Make a *fiery breath* attack as a free action, if available.",,Near,Fiery Breath,standard,encounter,Fire,Near arc 2,your level +4,Reflex,,"1d6 + Charisma modifier fire damage, and the target takes persistent 5 fire damage (save ends).",,,Instinct,,,,,,,,"At the end of your turn, if the hellhound has not received a command that turn, it charges its quarry if within charging distance, otherwise it runs towards the quarry. If its quarry is not in line of sight, the hellhound attacks or charges the nearest creature. ",,,,,,,,,,,,,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
Cup of Brimstone,Hezrou,Chaotic Evil,Large,Outsider,Humanoid,Demon,9,Summoned Creature,darkvision,*Demonic Stench aura 1:* Creatures in the aura cannot heal.,your staggered value,,can use your recoveries,your defenses,,,,,,,,"8, see also *leap*",,Basic Melee,"Meaty, Clawed Hands",standard,at-will,,,Your level +6,AC,,"1d8 + Charisma modifier damage, and the target is grappled.",,Melee,Constrict,standard,at-will,,,,,,A creature the hezrou has grappled takes 2d8 + Charisma modifier damage.,,,Leap,move,at-will,,,,,,"The hezrou jumps 4 squares, without provoking opportunity attacks. ",,,Instinct,,,,,,,,"At the end of your turn, if the hezrou has not received a command that turn, it constricts if it is grappling a creature. Otherwise it attacks or charges the nearest creature. ",,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
Cup of Brimstone,Hungry Maw,Chaotic Evil,Medium,Outsider,Monstrosity,Demon,9,Summoned Creature,darkvision,*Chomp and Chew aura 1:* A creature that enters or begins its turn in the aura takes 10 persistent damage (save ends).,your staggered value,,can use your recoveries,your defenses,,,,,,,,6,,Basic Melee,Big Chomp,standard,at-will,,,Your level +4,AC,,2d6 + Charisma modifier damage.,,,,,,,,,,,,,,Instinct,,,,,,,,"At the end of your turn, if the hungry maw has not received a command that turn, it attacks a random creature within reach or moves towards the nearest creature if none are within reach.",,,,,,,,,,,,,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
Cup of Brimstone,Vulture Demon,Chaotic Evil,Large,Outsider,Monstrosity,Demon,9,Summoned Creature,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,,,,"6, fly 8",,Basic Melee,Filth Covered Claws,standard,at-will,Poison,,Your level +6,AC,,"1d8 + Charisma modifier damage, and the target takes 5 persistent poison damage (save ends).",,Near,Demonic Screech,standard,encounter,Psychic,Near arc 3,your level +2,Will,,"1d8 + Charisma modifier psychic damage, and the target grants combat advantage until the end of your next turn.",,,Instinct,,,,,,,,"At the end of your turn, if the vulture demon has not received a command that turn, it uses *demonic screech* even if it has already used it this encounter, positioned to include as many targets as possible. ",,,,,,,,,,,,,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
Cup of Brimstone,Big Burner,Chaotic Evil,Large,Outsider,Humanoid,"Demon, Fire",15,Summoned Creature,darkvision,,your staggered value,,can use your recoveries,your defenses,,,,,fire 15,cold 15,,"fly 8 (hover, max altitude 3)",,Basic Melee,Flickers of Flame,standard,at-will,Fire,Reach 2,your level +4,Reflex,,3d6 + Charisma modifier fire damage. *Miss:* A random creature adjacent to the big burner takes 2d6 + Charisma modifier fire damage.,,Far,Quick Flicking Fire,standard,at-will,Fire,Far burst 1 within 5,your level +4,Reflex,one random target in range,2d6 + Charisma modifier fire damage.,,,Instinct,,,,,,,,"At the end of your turn, if the big burner has not received a command that turn, it makes a *quick flicking fire* attack against the nearest square occupied by a creature.",,,,,,,,,,,,,,,,,,,,,,,,"Common, Abyssal",,,,,,,,,
