Not in Core,Source,List,Name,Flavor,Category,Frequency,Tier,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defense,Hit,Miss,Effect,Special,Boost,Key Ability,Secondary Ability,Tradition,Sources,Details,Maintain Action,Maintain Text
,Advanced Combat,Advanced Combat,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Advanced Combat,Advanced Combat,Damage Power Source,,Attack,At-Will,,"Martial, Weapon",Standard,Melee or Ranged,"weapon, one creature",,,Strength or Dexterity,Fortitude or Reflex (whichever is higher),Choose one of the target’s powers. They cannot use it until it refreshes (roll of 5 or 6 required). ,,,,,,,,,,,
,Advanced Combat,Advanced Combat,Disarm,,Attack,At-Will,,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength or Dexterity,Fortitude or Reflex (whichever is higher),The target drops an item of your choice in its space.,,You provoke an opportunity attack from the target.,"A disarmed creature cannot use powers with the Weapon tag that are associated with that weapon. However, if disarmed of a melee weapon, they can always make an unarmed attack with the same attack bonus, doing damage equal to 4 + their level. ",,,,,,,,
,Advanced Combat,Advanced Combat,Duck for Cover,,Utility,At-Will,,Martial,Counter,,,You are in cover.,You are the target of an AC or Reflex attack.,,,,,You fall prone and have superior cover against the triggering attack.,,,,,,,,,
,Advanced Combat,Advanced Combat,Goad,,Attack,At-Will,,"Focus, Martial",Standard,Near,"burst 5, one creature",,,Charisma,Will,The target is marked by you until the end of your next turn.,,,,,,,,,,,
,Advanced Combat,Advanced Combat,Ignite,,Attack,At-Will,,"Martial, Weapon",Standard,Melee or Ranged,"weapon, one creature",,,Dexterity or Intelligence,Reflex,The target takes 5 persistent fire damage (save ends). *Level 11:* 10 persistent fire damage. *Level 21:* 15 persistent fire damage. ,,,You must have a source of fire to use this power.,,,,,,,,
,Advanced Combat,Advanced Combat,Lure,,Attack,At-Will,,Focus,Standard,Near,"burst 5, any creatures susceptible to the *lure*",You have something that the target finds hard to resist.,,Intelligence or Charisma,Will,The target is pulled 5 squares and is immobile (save ends). The target gets a new save each time it is hit by an attack. ,,The target is immune to the *lure* power until the end of the encounter.,"Depending on the susceptibility of the creature, the *lure* might be deployed in a different space to the user. ",,,,,,,,
,Advanced Combat,Advanced Combat,Overrun,,Attack,At-Will,,"Martial, Weapon",Move,,,,,,,,,"Move up to your speed. Make a secondary attack each time you attempt to enter an enemy’s space. 
*Secondary Attack:* Strength vs Fortitude; on a hit, push the target 1 square and you successfully enter their space; on a miss, you provoke an opportunity attack from the target, fail to enter their space, and your movement ends.",,,,,,,,,
,Advanced Combat,Advanced Combat,Repel,,Attack,At-Will,,Focus,Standard,Near,"burst 2, any vulnerable creatures",,,Wisdom or Charisma,Will,The target is pushed their speed and is immobile until the end of your next turn. ,,The target is immune to the *repel* power until the end of the encounter.,"Depending on the vulnerability of the creature, the repellant might be deployed in a different space to the user. ",,,,,,,,
,Advanced Combat,Advanced Combat,Scrape Vehicles,,Attack,At-Will,,"Focus, Martial, Mount",Standard,Near,"burst 1, one mount or vehicle",,,Dexterity,Reflex,"Damage equals 1d6 + your Dexterity modifier damage + your vehicle’s hardness. If the target vehicle is staggered by this hit, you and the driver make opposed Driver Skill checks. The driver who fails their check cannot take any actions relating to their vehicle on their next turn, guaranteeing it will careen.  
*Level 21:* Damage is 2d6 + Dexterity modifier damage + your vehicle’s hardness. ",,,,,,,,,,,
,Advanced Combat,Advanced Combat,Sunder,,Attack,At-Will,,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength or Dexterity,Reflex,Choose an item in the possession of the creature. Any bonuses it gives the user are reduced by 1 (cumulative) until the user takes a long rest. ,,You provoke an opportunity attack from the target.,,,,,,,,,
,Advanced Combat,Advanced Combat,Trip,,Attack,At-Will,,"Martial, Weapon",Standard,Melee,"weapon, one creature",,,Strength or Dexterity,Fortitude or Reflex (whichever is higher),The target is knocked prone.,,You provoke an opportunity attack from the target.,,,,,,,,,
,Ancestries,Ancestries,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Ancestries,Ancestries,Barrel Along,,Utility,Encounter,Feature,,Swift,Self,,,You are staggered.,,,,,"You have a +2 bonus to speed and to damage rolls until the end of the encounter.  
*Level 11:* You have a +2 bonus to speed and a +5 bonus to damage rolls until the end of the encounter.   
*Level 21:* You have a +2 bonus to speed and a +7 bonus to damage rolls until the end of the encounter.",,,,,,,,,
,Ancestries,Ancestries,Blinding Mucus,,Attack,Encounter,Feature,Focus,Standard,Ranged,"5, one creature",,,"Dex, Wis or Cha (your choice)",Reflex,The target is blinded until the end of your next turn.,,,,,,,,,,,
,Ancestries,Ancestries,Breath Weapon,,Attack,Encounter,Feature,"Focus, [Energy]",Swift,Near ,"arc 3, targets all",,,"(Highest of Strength, Constitution, Dexterity)",Reflex,"1d6 + Constitution modifier. 
*Level 11:* 2d6 + Constitution modifier. 
*Level 21:* 3d6 + Constitution modifier.",,,This power has the same damage type as your resistance.,,,,,,,,
,Ancestries,Ancestries,Careful Focus,,Utility,Encounter,Feature,,Free,Self,,,You just made an attack roll.,,,,,Reroll the attack roll and take the new result.,,,,,,,,,
,Ancestries,Ancestries,Cull the Weak,,Attack,Encounter,Feature,,Standard,Self,,,,,,,,Make two basic attacks against a staggered target.,,,,,,,,,
,Ancestries,Ancestries,Deceptive Motion ,,Utility,Encounter,Feature,,Free,Self,,,,,,,,"Until the end of your next turn, when you make any attack that normally targets AC, you can choose to target Reflex instead.",,,,,,,,,
,Ancestries,Ancestries,Disappearing Act,,Utility,Encounter,Feature,,Reaction,Self,,,You take damage.,,,,,"Become invisible until the end of your next turn, or until you make an attack (whichever comes sooner). ",,,,,,,,,
,Ancestries,Ancestries,Distraction,,Attack,Encounter,Feature,"Focus, Psychic",Swift,Ranged,"10, one creature",,,"Dex, Int or Wis (your choice)",Will,The target is dazed until the end of their next turn. ,,,,,,,,,,,
,Ancestries,Ancestries,Farstrider,,Utility,Encounter,Feature,,Move,Self,,,,,,,,Shift up to your speed.,,,,,,,,,
,Ancestries,Ancestries,Gargoyle’s Rest,,Utility,Encounter,Feature,,Move,Self,,,,,,,,"Your turn ends. You gain resistance to all damage 5 (10 at level 11, 15 at level 21) until the end of your next turn.  
At the beginning of your next turn, you may use your standard action to make a charge attack. If you do, increase your speed by 2 for the charge.",,,,,,,,,
,Ancestries,Ancestries,Giant Form,,Utility,Encounter,Feature,"Form, Transmutation",Swift,Self,,,,,,,,"You become Large. You remain in the form until you are reduced to 0 HP or below, take a long rest or take a new form. You can return to your original form as a swift action. Upon using this power, you can spend a recovery to gain temporary hit points equal to your recovery value. While in this form, you receive a +2 power bonus on basic melee attack rolls. ",,,,,,,,,
,Ancestries,Ancestries,Highblood Teleport,,Utility,Encounter,Feature,Teleport,Move,Self,,,,,,,,Teleport up to 5.,,,,,,,,,
,Ancestries,Ancestries,Ingenuity,,Utility,Encounter,Feature,,Swift,Near ,"burst 5, self or one ally",,,,,,,"Choose one: the target shifts up to 2 as a free action, makes a saving throw, gets +2 power bonus to next attack roll or gets +4 power bonus to next skill check. Power bonuses expire at the end of your next turn if not already used.  ",,,,,,,,,
