Name,Description,Details,Power,Powerlc,Ability 1,Ability 2,Ability 3,Speed,Languages,LLV,Darkvision,Skill Bonus 1,Skill Bonus 2,Feat 1 Name,Feat 1 Desc,Feat 2 Name,Feat 2 Desc,Feat 3 Name,Feat 3 Desc,
Apefolk,Medium natural humanoid,"Apefolk are humanoids reminiscent of humankind’s closest relatives: gorillas, orang utans and chimpanzees. Most apefolk take a particular pride in legacy and enduring might: memorizing their genealogy, celebrating the history of their centuries-old city-states and seeking personal glory.",,,Strength,Constitution,Charisma,6 squares,Common and one extra language of your choice.,,,Diplomacy,Religion,Heart of the Legion,"When adjacent to at least two allies, you receive a +1 power bonus to all defenses. ",Apefolk Power,Each apefolk has one of the following powers: *cull the weak* or *rally the troops*.,,,
Automaton,Medium natural automaton (construct),"Created beings of brass, clockwork and a pinch of sorcery, the automatons are a relatively new people, one still finding their place in the world. ",Ingenuity,ingenuity,Constitution,Intelligence,Wisdom,6 squares,Common and one extra language of your choice.,,,Endure,History,Relentless Endurance ,"The first time in an encounter that you are staggered, you gain temporary HP equal to your level.",Made of Metal,"You do not make death saving throws. You still die if reduced to negative hit points equal to your maximum hit points. You do not sleep, breathe, eat or drink. ",,,
Azer,Medium elemental humanoid (fire),"Stout beings who resemble dwarves with hair of fire, azer are often skilled artisans. Their clans are organized on quasi-military lines.",Vengeance of the Pit,vengeance of the pit,Strength,Constitution,Wisdom,"5 squares, but your speed is not reduced by wearing heavy armor or carrying a heavy load.","Common, Primordial",True,,Arcana,Endure,Resistance to Fire,You gain resistance to fire equal to 5 + half your level.,Minor Magics,You know the *fiery spirit* power from the Cantrips discipline.,,,
Baldanar,Medium shadow humanoid (shapechanger),"The baldanar are shapeshifters from the Plane of Shadow. In their true form, a baldanar is a grey-skinned humanoid with shallow features and all-black eyes. Planar gossip suggests that the baldanar are the exiled remnants of a mighty terrestrial empire, stripped of their identities as punishment for their hubris. Some baldanar share this belief, and are trying to recover their memories – and their past glory. Others use their ability to shift forms to make something new of their mysterious lives.",,,Dexterity,Intelligence,Charisma,6 squares,Common and one extra language of your choice.,,,Bluff,Stealth,Shared Mind,"You gain telepathy 5, which means you can communicate mentally with creatures you can see that are within 5 squares of you. The creature must be able to speak at least one language; once you have begun the communication they can “speak” back to you if they wish. Your telepathy does not allow you to read the creature’s thoughts or influence them other than in the same manner as ordinary verbal communication.",Brief Mimicry,"You have the *brief mimicry* power from the Deep, Dark, Truthful Mirror discipline. ",Dabbler,Choose a level 1 at-will attack power from your class. You gain this power in addition to the those normally granted by your class.,
Catfolk,Medium natural humanoid,"Catfolk are playful humanoids with short fur all over their lithe bodies. They have feline heads, with different clans tending to resemble different breeds of big cat.",Farstrider,farstrider,Dexterity,Wisdom,Charisma,6 squares,Common and one extra language of your choice.,True,,Acrobatics,Streetsmarts,Natural Weapon – Claws,"You are proficient with a martial weapon, your claws. Each claw is a martial side weapon in the light blades category (proficiency +3, 1d6 damage), although it cannot be thrown.",Balance Guidance,Allies within 10 receive a +1 ancestry bonus to Acrobatics.,Nimbleness,+2 ancestry bonus to AC against opportunity attacks.,
Cervitaur,Medium fey humanoid ,"Cervitaurs are fey with the upper body of a small elf and the lower body of a deer. They have branching antlers, the tips of which can be snapped off and thrown for a soporific effect on those they strike. ",Sleep Dart,sleep dart,Dexterity,Wisdom,Charisma,7 squares,"Common, Elven",True,,Nature,Perception,Woodland Stride,"Shrubbery, trees or plants are not difficult terrain for you. ",,,,,
Deepfolk,Medium cosmic humanoid,"Deepfolk are amphibious humanoids with fish-like features, skilled in underwater combat and wielding weapons crafted from coral and obsidian.",Blinding Mucus,blinding mucus,Dexterity,Wisdom,Charisma,"6 squares, swim 4 squares","Common, Deep Speech",,True,Dungeoneering,Streetsmarts,,,,,,,
Dromite,Small cosmic humanoid,"Dromite are small insect-like humanoids that form cooperative colonies in gigantic mounds of heaped earth. Their powerful legs allow them to leap great distances, and they can shoot beams of energy from their multi-faceted eyes.",Psychic Leap,psychic leap,Dexterity,Intelligence,Charisma,5 squares,"Common, Deep Speech",,True,Arcana,Insight,Blast Shard,You gain Blast Shard as a bonus feat.,,,,,
Fetchling,Medium shadow humanoid,"Fetchlings are spectral beings, hovering between life and death. They tend to be dolorous, with deep, sad voices. Their skin and hair is wispy and insubstantial.",Disappearing Act,disappearing act,Strength,Intelligence,Charisma,6 squares,Common and one extra language of your choice.,True,,History,Stealth,Hold Breath,+5 ancestry bonus to Endure checks to hold your breath.,Stealth Guidance,Allies within 10 receive a +1 ancestry bonus to Stealth.,,,
Frogfolk,Small natural humanoid,"Frogfolk are amphibious humanoids, with webbed feet and hands and long, sticky tongues. Frogfolk tend to be cheery and adventurous, although their mood quickly turns if their skin dries out. ",Lucky,lucky,Constitution,Dexterity,Charisma,"5 squares, swim 5 squares",Common and one extra language of your choice.,,,Nature,Stealth,Hide in a Flash,"When you make an initiative check, if you are in cover or concealment, you can make a Stealth check to hide (takes no action).",Nimbleness,+2 ancestry bonus to AC against opportunity attacks.,,,
